Property_ID,Suburb,Property_Type,Bedrooms,Bathrooms,Parking_Spaces,Land_Size_sqm,Building_Size_sqm,Sale_Price_AUD,Sale_Date,Distance_to_CBD_km,Source_URL,Notes,Dwelling_Group,Has_Land_Size
PT-010,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,588000.0,2026-08-04,24,https://www.domain.com.au/2-15-19-early-street-parramatta-nsw-2150-2021000174,land size not published,0,1
PT-011,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,680000.0,2026-08-04,24,https://www.domain.com.au/404-23-hassall-street-parramatta-nsw-2150-2020835264,land size not published,0,1
PT-012,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,740000.0,2026-08-02,24,https://www.domain.com.au/3001-11-hassall-st-parramatta-nsw-2150-2020891660,land size not published,0,1
PT-013,Parramatta,Apartment / Unit / Flat,3,2,2.0,0.0,,800000.0,2026-07-23,24,https://www.domain.com.au/27-9-11-cowper-street-parramatta-nsw-2150-2020985734,land size not published,0,1
MD-027,Mount Druitt,Semi-Detached,4,2,2.0,259.0,,965000.0,2026-02-18,43,https://www.domain.com.au/10b-linden-street-mount-druitt-nsw-2770-2020599833,sold listing verified; unavailable fields left blank,0,1
MD-028,Mount Druitt,House,3,1,1.0,556.4,,1032500.0,2026-02-15,43,https://www.domain.com.au/1-karen-place-mount-druitt-nsw-2770-2020543782,sold listing verified; unavailable fields left blank,1,1
MD-029,Mount Druitt,House,3,2,2.0,313.0,,960000.0,2026-02-10,43,https://www.domain.com.au/2-47-morehead-avenue-mount-druitt-nsw-2770-2020554054,sold listing verified; unavailable fields left blank,1,1
MD-030,Mount Druitt,House,3,1,6.0,1012.0,,1510000.0,2026-02-01,43,https://www.domain.com.au/84-coates-street-mount-druitt-nsw-2770-2020509517,sold listing verified; unavailable fields left blank,1,1
MD-031,Mount Druitt,House,3,2,2.0,325.0,,1325000.0,2026-02-09,43,https://www.domain.com.au/52-morehead-avenue-mount-druitt-nsw-2770-2020442615,sold listing verified; unavailable fields left blank,1,1
MD-032,Mount Druitt,House,4,2,2.0,576.5,,1010000.0,2026-01-31,43,https://www.domain.com.au/19-raynor-street-mount-druitt-nsw-2770-2020438519,sold listing verified; unavailable fields left blank,1,1
MD-033,Mount Druitt,House,5,2,6.0,556.0,,1410000.0,2026-01-31,43,https://www.domain.com.au/34a-34c-coates-street-mount-druitt-nsw-2770-2020490851,sold listing verified; unavailable fields left blank,1,1
MD-034,Mount Druitt,House,3,1,2.0,559.0,,1050000.0,2026-01-22,43,https://www.domain.com.au/19-george-street-mount-druitt-nsw-2770-2020521451,sold listing verified; unavailable fields left blank,1,1
MD-035,Mount Druitt,House,4,2,1.0,576.5,,1040000.0,2025-12-09,43,https://www.domain.com.au/18-mannikin-place-mount-druitt-nsw-2770-2020369645,sold listing verified; unavailable fields left blank,1,1
MD-036,Mount Druitt,House,4,2,4.0,653.0,,1155000.0,2025-12-04,43,https://www.domain.com.au/23c-janet-street-mount-druitt-nsw-2770-2020375707,sold listing verified; unavailable fields left blank,1,1
PT-019,Parramatta,Apartment / Unit / Flat,2,2,1.0,108.0,,570000.0,2026-09-03,24,https://www.domain.com.au/10-4-peace-lane-parramatta-nsw-2150-2020795902,sold listing verified; unavailable fields left blank,0,1
PT-020,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,490000.0,2026-09-01,24,https://www.domain.com.au/9-178-george-street-parramatta-nsw-2150-2021070163,sold listing verified; unavailable fields left blank,0,1
PT-021,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,569000.0,2026-08-31,24,https://www.domain.com.au/3-23-good-street-parramatta-nsw-2150-2020835270,sold listing verified; unavailable fields left blank,0,1
PT-022,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,650000.0,2026-08-31,24,https://www.domain.com.au/17-10-12-thomas-street-parramatta-nsw-2150-2021082491,sold listing verified; unavailable fields left blank,0,1
PT-023,Parramatta,Apartment / Unit / Flat,2,2,1.0,108.0,,540000.0,2026-08-30,24,https://www.domain.com.au/401-6-river-road-west-parramatta-nsw-2150-2020953991,sold listing verified; unavailable fields left blank,0,1
